"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Moran,115,GEN,Dibrugarh,Chakradhar Gogoi,Bharatiya Janta Party,133458,110011,82.4 %,22341,20.3%
Moran,115,GEN,Dibrugarh,Chakradhar Gogoi,Bharatiya Janta Party,133458,110011,82.4 %,22341,20.3%
Mariani,101,GEN,Jorhat,Rupjyoti Kurmi,Indian National Congress,113990,93782,82.3 %,2446,2.6%
Mariani,101,GEN,Jorhat,Rupjyoti Kurmi,Indian National Congress,113990,93782,82.3 %,2446,2.6%
Marigaon,80,GEN,Marigaon,Rama Kanta Dewri,Bharatiya Janta Party,184785,155011,83.9 %,36532,23.6%
Marigaon,80,GEN,Marigaon,Rama Kanta Dewri,Bharatiya Janta Party,184785,155011,83.9 %,36532,23.6%
Naharkatia,120,GEN,Dibrugarh,Taranga Gogoi,Bharatiya Janta Party,129708,109582,84.5 %,14976,13.7%
Naharkatia,120,GEN,Dibrugarh,Taranga Gogoi,Bharatiya Janta Party,129708,109582,84.5 %,14976,13.7%
Nalbari,59,GEN,Nalbari,Jayanta Malla Baruah,Bharatiya Janta Party,199892,178677,89.4 %,49457,27.7%
Nalbari,59,GEN,Nalbari,Jayanta Malla Baruah,Bharatiya Janta Party,199892,178677,89.4 %,49457,27.7%
Naoboicha,110,GEN,Lakhimpur,Bharat Chandra Narah,Indian National Congress,206650,191399,92.6 %,3613,1.9%
Naoboicha,110,GEN,Lakhimpur,Bharat Chandra Narah,Indian National Congress,206650,191399,92.6 %,3613,1.9%
Nazira,104,GEN,Sibsagar,Debabrata Saikia,Indian National Congress,124015,108688,87.6 %,683,0.6%
Nazira,104,GEN,Sibsagar,Debabrata Saikia,Indian National Congress,124015,108688,87.6 %,683,0.6%
Nowgong,86,GEN,Nagaon,Rupak Sarmah,Bharatiya Janta Party,177970,154847,87.0 %,11083,7.2%
Nowgong,86,GEN,Nagaon,Rupak Sarmah,Bharatiya Janta Party,177970,154847,87.0 %,11083,7.2%
Palasbari,50,GEN,Kamrup,Hemanga Thakuria,Bharatiya Janta Party,149368,130419,87.3 %,39670,30.4%
Palasbari,50,GEN,Kamrup,Hemanga Thakuria,Bharatiya Janta Party,149368,130419,87.3 %,39670,30.4%
Panery,64,GEN,Udalguri,Biswajit Daimary,Bharatiya Janta Party,145006,117104,80.8 %,35852,30.6%
Panery,64,GEN,Udalguri,Biswajit Daimary,Bharatiya Janta Party,145006,117104,80.8 %,35852,30.6%
