"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Barchalla,72,GEN,Sonitpur,Ganesh Kumar Limbu,Bharatiya Janta Party,162252,135172,83.3 %,17782,13.2%
Chabua,121,GEN,Dibrugarh,Ponakan Baruah,Asom Gana Parisad,150387,126021,83.8 %,18730,14.9%
Chabua,121,GEN,Dibrugarh,Ponakan Baruah,Asom Gana Parisad,150387,126021,83.8 %,18730,14.9%
Chapaguri,63,ST,Nalbari,Urkhao Gwra Brahma,United Peoples Party Liberal,154439,125339,81.2 %,26739,21.3%
Chapaguri,63,ST,Nalbari,Urkhao Gwra Brahma,United Peoples Party Liberal,154439,125339,81.2 %,26739,21.3%
Chaygaon,49,GEN,Kamrup,Rekibuddin Ahmed,Indian National Congress,177428,165162,93.1 %,28044,17.0%
Chaygaon,49,GEN,Kamrup,Rekibuddin Ahmed,Indian National Congress,177428,165162,93.1 %,28044,17.0%
Chenga,47,GEN,Barpeta,Ashraful Hussain,All India United Democratic Front,135033,127311,94.3 %,51939,40.8%
Chenga,47,GEN,Barpeta,Ashraful Hussain,All India United Democratic Front,135033,127311,94.3 %,51939,40.8%
Dalgaon,68,GEN,Darrang,Mazibur Rahman,All India United Democratic Front,224103,212683,94.9 %,55383,26.0%
Dalgaon,68,GEN,Darrang,Mazibur Rahman,All India United Democratic Front,224103,212683,94.9 %,55383,26.0%
Dergaon,97,SC,Jorhat,Bhabendra Nath Bharali,Asom Gana Parisad,161861,130661,80.7 %,12497,9.6%
Dergaon,97,SC,Jorhat,Bhabendra Nath Bharali,Asom Gana Parisad,161861,130661,80.7 %,12497,9.6%
Dhakuakhana,112,ST,Lakhimpur,Naba Kumar Doley,Bharatiya Janta Party,196751,168690,85.7 %,9596,5.7%
Dhakuakhana,112,ST,Lakhimpur,Naba Kumar Doley,Bharatiya Janta Party,196751,168690,85.7 %,9596,5.7%
Dharmapur,61,GEN,Nalbari,Chandra Mohan Patowary,Bharatiya Janta Party,139049,119407,85.9 %,25034,21.0%
Dharmapur,61,GEN,Nalbari,Chandra Mohan Patowary,Bharatiya Janta Party,139049,119407,85.9 %,25034,21.0%
