"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Howrah Dakshin,173,GEN,Haora,Nandita Chowdhury,All India Trinamool Congress,278680,213992,76.8 %,50569,23.6%
Howrah Madhya,171,GEN,Haora,Arup Roy S/o Late Prabhat Roy,All India Trinamool Congress,251112,192409,76.6 %,46547,24.2%
Howrah Madhya,171,GEN,Haora,Arup Roy S/o Late Prabhat Roy,All India Trinamool Congress,251112,192409,76.6 %,46547,24.2%
Howrah Uttar,170,GEN,Haora,Gautam Chowdhuri,All India Trinamool Congress,205663,148050,72.0 %,5522,3.7%
Howrah Uttar,170,GEN,Haora,Gautam Chowdhuri,All India Trinamool Congress,205663,148050,72.0 %,5522,3.7%
Indus,257,SC,Bankura,Nirmal Kumar Dhara,Bharatiya Janta Party,234967,215271,91.6 %,7220,3.4%
Indus,257,SC,Bankura,Nirmal Kumar Dhara,Bharatiya Janta Party,234967,215271,91.6 %,7220,3.4%
Islampur,29,GEN,Uttar Dinajpur,Abdul Karim Chowdhary,All India Trinamool Congress,204047,167998,82.3 %,37440,22.3%
Islampur,29,GEN,Uttar Dinajpur,Abdul Karim Chowdhary,All India Trinamool Congress,204047,167998,82.3 %,37440,22.3%
Itahar,36,GEN,Uttar Dinajpur,Mosaraf Hussen,All India Trinamool Congress,218591,192746,88.2 %,43975,22.8%
Itahar,36,GEN,Uttar Dinajpur,Mosaraf Hussen,All India Trinamool Congress,218591,192746,88.2 %,43975,22.8%
Jadavpur,150,GEN,South  Twenty Four Parganas,Debabrata Majumdar (MALAY),All India Trinamool Congress,285342,212689,74.5 %,38869,18.3%
Jadavpur,150,GEN,South  Twenty Four Parganas,Debabrata Majumdar (MALAY),All India Trinamool Congress,285342,212689,74.5 %,38869,18.3%
Jagatballavpur,183,GEN,Haora,Sitanath Ghosh,All India Trinamool Congress,272383,232952,85.5 %,29196,12.5%
Jagatballavpur,183,GEN,Haora,Sitanath Ghosh,All India Trinamool Congress,272383,232952,85.5 %,29196,12.5%
Jagatdal,106,GEN,North Twenty Four Parganas,Somenath Shyam Ichini,All India Trinamool Congress,222046,178719,80.5 %,18364,10.3%
Jagatdal,106,GEN,North Twenty Four Parganas,Somenath Shyam Ichini,All India Trinamool Congress,222046,178719,80.5 %,18364,10.3%
Jalangi,76,GEN,Murshidabad,Abdur Razzak,All India Trinamool Congress,248596,219616,88.3 %,79276,36.1%
Jalangi,76,GEN,Murshidabad,Abdur Razzak,All India Trinamool Congress,248596,219616,88.3 %,79276,36.1%
Jalpaiguri,17,SC,Jalpaiguri,Dr. Pradip Kumar Barma,All India Trinamool Congress,255367,222552,87.1 %,941,0.4%
